feature,iv
account_status,0.6505654252458003
history_of_compliance,0.29674344637723205
credit_duration,0.2192605359304822
savings,0.17751993356495924
age,0.1208456311217877
employment_duration,0.11918304066287234
property,0.09708298483942737
entry_payment,0.09360863032359731
type_of_housing,0.07223591675490784
credit_amount,0.06760340747640425
credit_purpose,0.06286185699301687
personal_status_sex,0.051164032180907745
other_installment_plans,0.045365835950986526
foreign_worker,0.03997452662964467
installment_rate,0.03281667550731729
other_debtors,0.025962237660012696
job,0.016079802643670208
number_credits,0.010893384494317737
level_of_education,0.006702434471871929
present_residence,0.0015177575520670694
telephone,0.0010451706172155612
people_liable,0.0008448230642190475
