bin_center,density,class
0.025,0.0,mau
0.075,0.0,mau
0.125,0.5556,mau
0.175,0.5556,mau
0.225,0.5556,mau
0.275,1.3889,mau
0.325,2.2222,mau
0.375,2.2222,mau
0.425,1.6667,mau
0.475,0.8333,mau
0.525,1.1111,mau
0.575,1.6667,mau
0.625,0.5556,mau
0.675,1.9444,mau
0.725,1.1111,mau
0.775,1.1111,mau
0.825,1.3889,mau
0.875,0.8333,mau
0.925,0.2778,mau
0.975,0.0,mau
0.025,0.0,bom
0.075,0.0,bom
0.125,0.0,bom
0.175,0.2381,bom
0.225,0.0,bom
0.275,0.2381,bom
0.325,0.119,bom
0.375,0.5952,bom
0.425,0.2381,bom
0.475,0.5952,bom
0.525,0.3571,bom
0.575,1.5476,bom
0.625,1.1905,bom
0.675,0.8333,bom
0.725,1.4286,bom
0.775,1.9048,bom
0.825,2.8571,bom
0.875,2.9762,bom
0.925,2.7381,bom
0.975,2.1429,bom
